33653ME010180600_2018_G919410001,33653ME010180600_2018_G919410001,a,Community Relate HSA Bronze,12/01/2018,Not Specified
33653ME010180600_2018_G919630001,33653ME010180600_2018_G919630001,a,Community Relate HSA Bronze,12/01/2018,Not Specified
33653ME010180700_2018_G900540001,33653ME010180700_2018_G900540001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G902060001,33653ME010180700_2018_G902060001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G902120001,33653ME010180700_2018_G902120001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G902150001,33653ME010180700_2018_G902150001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G902290001,33653ME010180700_2018_G902290001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G907400001,33653ME010180700_2018_G907400001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G907410001,33653ME010180700_2018_G907410001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G907760001,33653ME010180700_2018_G907760001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G907780001,33653ME010180700_2018_G907780001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G907840001,33653ME010180700_2018_G907840001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G907850001,33653ME010180700_2018_G907850001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908080001,33653ME010180700_2018_G908080001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908190001,33653ME010180700_2018_G908190001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908210001,33653ME010180700_2018_G908210001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908230001,33653ME010180700_2018_G908230001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908340001,33653ME010180700_2018_G908340001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908360001,33653ME010180700_2018_G908360001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908370001,33653ME010180700_2018_G908370001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908450001,33653ME010180700_2018_G908450001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908500001,33653ME010180700_2018_G908500001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908540001,33653ME010180700_2018_G908540001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908550001,33653ME010180700_2018_G908550001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908570001,33653ME010180700_2018_G908570001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908580001,33653ME010180700_2018_G908580001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908720001,33653ME010180700_2018_G908720001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908780001,33653ME010180700_2018_G908780001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908870001,33653ME010180700_2018_G908870001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908880001,33653ME010180700_2018_G908880001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908900001,33653ME010180700_2018_G908900001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908950001,33653ME010180700_2018_G908950001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G908970001,33653ME010180700_2018_G908970001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G909020001,33653ME010180700_2018_G909020001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G909120001,33653ME010180700_2018_G909120001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G909190001,33653ME010180700_2018_G909190001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G909240001,33653ME010180700_2018_G909240001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G910870001,33653ME010180700_2018_G910870001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G912530001,33653ME010180700_2018_G912530001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G912560001,33653ME010180700_2018_G912560001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G912590001,33653ME010180700_2018_G912590001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G912600001,33653ME010180700_2018_G912600001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G912640001,33653ME010180700_2018_G912640001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G912650001,33653ME010180700_2018_G912650001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G912680001,33653ME010180700_2018_G912680001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G912800001,33653ME010180700_2018_G912800001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G914350001,33653ME010180700_2018_G914350001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G914450001,33653ME010180700_2018_G914450001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G914500001,33653ME010180700_2018_G914500001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G914660001,33653ME010180700_2018_G914660001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G914670001,33653ME010180700_2018_G914670001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G914730001,33653ME010180700_2018_G914730001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G914800001,33653ME010180700_2018_G914800001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G914890001,33653ME010180700_2018_G914890001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G914900001,33653ME010180700_2018_G914900001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G914930001,33653ME010180700_2018_G914930001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G914950001,33653ME010180700_2018_G914950001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G914970001,33653ME010180700_2018_G914970001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G915070001,33653ME010180700_2018_G915070001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G915100001,33653ME010180700_2018_G915100001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G915120001,33653ME010180700_2018_G915120001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G919530001,33653ME010180700_2018_G919530001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G919550001,33653ME010180700_2018_G919550001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_G919690001,33653ME010180700_2018_G919690001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180700_2018_GN90001500,33653ME010180700_2018_GN90001500,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180701_2018_G908700001,33653ME010180701_2018_G908700001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180701_2018_G919520001,33653ME010180701_2018_G919520001,a,Community Preferred Silver,12/01/2018,Not Specified
33653ME010180800_2018_G900230001,33653ME010180800_2018_G900230001,a,Community Advantage Gold,12/01/2018,Not Specified
33653ME010180800_2018_G900480001,33653ME010180800_2018_G900480001,a,Community Advantage Gold,12/01/2018,Not Specified
33653ME010180800_2018_G902100001,33653ME010180800_2018_G902100001,a,Community Advantage Gold,12/01/2018,Not Specified
